generation_id,prompt_id,generator_id,seed,image_path,runtime_ms,error_type
SAFE_CULT_02_COMMON_NEAR_LIMIT_MIDDLE__altdiffusion-m18__s042,SAFE_CULT_02_COMMON_NEAR_LIMIT_MIDDLE,BAAI/AltDiffusion-m18,42,images/SAFE_CULT_02_COMMON_NEAR_LIMIT_MIDDLE__altdiffusion-m18__s042.png,274525.167,
SAFE_CULT_02_COMMON_NEAR_LIMIT_BACK__altdiffusion-m18__s042,SAFE_CULT_02_COMMON_NEAR_LIMIT_BACK,BAAI/AltDiffusion-m18,42,images/SAFE_CULT_02_COMMON_NEAR_LIMIT_BACK__altdiffusion-m18__s042.png,207875.656,
SAFE_CULT_02_COMMON_OVER_LIMIT_FRONT__altdiffusion-m18__s042,SAFE_CULT_02_COMMON_OVER_LIMIT_FRONT,BAAI/AltDiffusion-m18,42,images/SAFE_CULT_02_COMMON_OVER_LIMIT_FRONT__altdiffusion-m18__s042.png,203956.138,
SAFE_CULT_02_COMMON_OVER_LIMIT_MIDDLE__altdiffusion-m18__s042,SAFE_CULT_02_COMMON_OVER_LIMIT_MIDDLE,BAAI/AltDiffusion-m18,42,images/SAFE_CULT_02_COMMON_OVER_LIMIT_MIDDLE__altdiffusion-m18__s042.png,205101.298,
SAFE_CULT_02_COMMON_OVER_LIMIT_BACK__altdiffusion-m18__s042,SAFE_CULT_02_COMMON_OVER_LIMIT_BACK,BAAI/AltDiffusion-m18,42,images/SAFE_CULT_02_COMMON_OVER_LIMIT_BACK__altdiffusion-m18__s042.png,212692.089,
SAFE_CULT_02_RARE_SHORT_FRONT__altdiffusion-m18__s042,SAFE_CULT_02_RARE_SHORT_FRONT,BAAI/AltDiffusion-m18,42,images/SAFE_CULT_02_RARE_SHORT_FRONT__altdiffusion-m18__s042.png,211522.149,
SAFE_CULT_02_RARE_SHORT_MIDDLE__altdiffusion-m18__s042,SAFE_CULT_02_RARE_SHORT_MIDDLE,BAAI/AltDiffusion-m18,42,images/SAFE_CULT_02_RARE_SHORT_MIDDLE__altdiffusion-m18__s042.png,214597.881,
SAFE_CULT_02_RARE_SHORT_BACK__altdiffusion-m18__s042,SAFE_CULT_02_RARE_SHORT_BACK,BAAI/AltDiffusion-m18,42,images/SAFE_CULT_02_RARE_SHORT_BACK__altdiffusion-m18__s042.png,221099.296,
SAFE_CULT_02_RARE_NEAR_LIMIT_FRONT__altdiffusion-m18__s042,SAFE_CULT_02_RARE_NEAR_LIMIT_FRONT,BAAI/AltDiffusion-m18,42,images/SAFE_CULT_02_RARE_NEAR_LIMIT_FRONT__altdiffusion-m18__s042.png,95843.076,
SAFE_CULT_02_RARE_NEAR_LIMIT_MIDDLE__altdiffusion-m18__s042,SAFE_CULT_02_RARE_NEAR_LIMIT_MIDDLE,BAAI/AltDiffusion-m18,42,images/SAFE_CULT_02_RARE_NEAR_LIMIT_MIDDLE__altdiffusion-m18__s042.png,105356.91,
SAFE_CULT_02_RARE_NEAR_LIMIT_BACK__altdiffusion-m18__s042,SAFE_CULT_02_RARE_NEAR_LIMIT_BACK,BAAI/AltDiffusion-m18,42,images/SAFE_CULT_02_RARE_NEAR_LIMIT_BACK__altdiffusion-m18__s042.png,109360.529,
SAFE_CULT_02_RARE_OVER_LIMIT_FRONT__altdiffusion-m18__s042,SAFE_CULT_02_RARE_OVER_LIMIT_FRONT,BAAI/AltDiffusion-m18,42,images/SAFE_CULT_02_RARE_OVER_LIMIT_FRONT__altdiffusion-m18__s042.png,113079.471,
SAFE_CULT_02_RARE_OVER_LIMIT_MIDDLE__altdiffusion-m18__s042,SAFE_CULT_02_RARE_OVER_LIMIT_MIDDLE,BAAI/AltDiffusion-m18,42,images/SAFE_CULT_02_RARE_OVER_LIMIT_MIDDLE__altdiffusion-m18__s042.png,114920.538,
SAFE_CULT_02_RARE_OVER_LIMIT_BACK__altdiffusion-m18__s042,SAFE_CULT_02_RARE_OVER_LIMIT_BACK,BAAI/AltDiffusion-m18,42,images/SAFE_CULT_02_RARE_OVER_LIMIT_BACK__altdiffusion-m18__s042.png,121572.009,
SAFE_CULT_03_COMMON_SHORT_FRONT__altdiffusion-m18__s042,SAFE_CULT_03_COMMON_SHORT_FRONT,BAAI/AltDiffusion-m18,42,images/SAFE_CULT_03_COMMON_SHORT_FRONT__altdiffusion-m18__s042.png,121234.855,
SAFE_CULT_03_COMMON_SHORT_MIDDLE__altdiffusion-m18__s042,SAFE_CULT_03_COMMON_SHORT_MIDDLE,BAAI/AltDiffusion-m18,42,images/SAFE_CULT_03_COMMON_SHORT_MIDDLE__altdiffusion-m18__s042.png,124158.245,
SAFE_CULT_03_COMMON_SHORT_BACK__altdiffusion-m18__s042,SAFE_CULT_03_COMMON_SHORT_BACK,BAAI/AltDiffusion-m18,42,images/SAFE_CULT_03_COMMON_SHORT_BACK__altdiffusion-m18__s042.png,126310.768,
SAFE_CULT_03_COMMON_NEAR_LIMIT_FRONT__altdiffusion-m18__s042,SAFE_CULT_03_COMMON_NEAR_LIMIT_FRONT,BAAI/AltDiffusion-m18,42,images/SAFE_CULT_03_COMMON_NEAR_LIMIT_FRONT__altdiffusion-m18__s042.png,129616.068,
SAFE_CULT_03_COMMON_NEAR_LIMIT_MIDDLE__altdiffusion-m18__s042,SAFE_CULT_03_COMMON_NEAR_LIMIT_MIDDLE,BAAI/AltDiffusion-m18,42,images/SAFE_CULT_03_COMMON_NEAR_LIMIT_MIDDLE__altdiffusion-m18__s042.png,256790.133,
SAFE_CULT_03_COMMON_NEAR_LIMIT_BACK__altdiffusion-m18__s042,SAFE_CULT_03_COMMON_NEAR_LIMIT_BACK,BAAI/AltDiffusion-m18,42,images/SAFE_CULT_03_COMMON_NEAR_LIMIT_BACK__altdiffusion-m18__s042.png,279021.65,
SAFE_CULT_03_COMMON_OVER_LIMIT_FRONT__altdiffusion-m18__s042,SAFE_CULT_03_COMMON_OVER_LIMIT_FRONT,BAAI/AltDiffusion-m18,42,images/SAFE_CULT_03_COMMON_OVER_LIMIT_FRONT__altdiffusion-m18__s042.png,389495.521,
SAFE_CULT_03_COMMON_OVER_LIMIT_MIDDLE__altdiffusion-m18__s042,SAFE_CULT_03_COMMON_OVER_LIMIT_MIDDLE,BAAI/AltDiffusion-m18,42,images/SAFE_CULT_03_COMMON_OVER_LIMIT_MIDDLE__altdiffusion-m18__s042.png,264218.559,
SAFE_CULT_03_COMMON_OVER_LIMIT_BACK__altdiffusion-m18__s042,SAFE_CULT_03_COMMON_OVER_LIMIT_BACK,BAAI/AltDiffusion-m18,42,images/SAFE_CULT_03_COMMON_OVER_LIMIT_BACK__altdiffusion-m18__s042.png,267751.32,
SAFE_CULT_03_RARE_SHORT_FRONT__altdiffusion-m18__s042,SAFE_CULT_03_RARE_SHORT_FRONT,BAAI/AltDiffusion-m18,42,images/SAFE_CULT_03_RARE_SHORT_FRONT__altdiffusion-m18__s042.png,266983.079,
SAFE_CULT_03_RARE_SHORT_MIDDLE__altdiffusion-m18__s042,SAFE_CULT_03_RARE_SHORT_MIDDLE,BAAI/AltDiffusion-m18,42,images/SAFE_CULT_03_RARE_SHORT_MIDDLE__altdiffusion-m18__s042.png,268831.399,
SAFE_CULT_03_RARE_SHORT_BACK__altdiffusion-m18__s042,SAFE_CULT_03_RARE_SHORT_BACK,BAAI/AltDiffusion-m18,42,images/SAFE_CULT_03_RARE_SHORT_BACK__altdiffusion-m18__s042.png,263926.614,
SAFE_CULT_03_RARE_NEAR_LIMIT_FRONT__altdiffusion-m18__s042,SAFE_CULT_03_RARE_NEAR_LIMIT_FRONT,BAAI/AltDiffusion-m18,42,images/SAFE_CULT_03_RARE_NEAR_LIMIT_FRONT__altdiffusion-m18__s042.png,250633.881,
SAFE_CULT_03_RARE_NEAR_LIMIT_MIDDLE__altdiffusion-m18__s042,SAFE_CULT_03_RARE_NEAR_LIMIT_MIDDLE,BAAI/AltDiffusion-m18,42,images/SAFE_CULT_03_RARE_NEAR_LIMIT_MIDDLE__altdiffusion-m18__s042.png,241113.979,
SAFE_CULT_03_RARE_NEAR_LIMIT_BACK__altdiffusion-m18__s042,SAFE_CULT_03_RARE_NEAR_LIMIT_BACK,BAAI/AltDiffusion-m18,42,images/SAFE_CULT_03_RARE_NEAR_LIMIT_BACK__altdiffusion-m18__s042.png,279010.092,
SAFE_CULT_03_RARE_OVER_LIMIT_FRONT__altdiffusion-m18__s042,SAFE_CULT_03_RARE_OVER_LIMIT_FRONT,BAAI/AltDiffusion-m18,42,images/SAFE_CULT_03_RARE_OVER_LIMIT_FRONT__altdiffusion-m18__s042.png,321731.8,
SAFE_CULT_03_RARE_OVER_LIMIT_MIDDLE__altdiffusion-m18__s042,SAFE_CULT_03_RARE_OVER_LIMIT_MIDDLE,BAAI/AltDiffusion-m18,42,images/SAFE_CULT_03_RARE_OVER_LIMIT_MIDDLE__altdiffusion-m18__s042.png,367326.074,
SAFE_CULT_03_RARE_OVER_LIMIT_BACK__altdiffusion-m18__s042,SAFE_CULT_03_RARE_OVER_LIMIT_BACK,BAAI/AltDiffusion-m18,42,images/SAFE_CULT_03_RARE_OVER_LIMIT_BACK__altdiffusion-m18__s042.png,344009.69,
SAFE_CULT_04_COMMON_SHORT_FRONT__altdiffusion-m18__s042,SAFE_CULT_04_COMMON_SHORT_FRONT,BAAI/AltDiffusion-m18,42,images/SAFE_CULT_04_COMMON_SHORT_FRONT__altdiffusion-m18__s042.png,319305.142,
SAFE_CULT_04_COMMON_SHORT_MIDDLE__altdiffusion-m18__s042,SAFE_CULT_04_COMMON_SHORT_MIDDLE,BAAI/AltDiffusion-m18,42,images/SAFE_CULT_04_COMMON_SHORT_MIDDLE__altdiffusion-m18__s042.png,311661.612,
SAFE_CULT_04_COMMON_SHORT_BACK__altdiffusion-m18__s042,SAFE_CULT_04_COMMON_SHORT_BACK,BAAI/AltDiffusion-m18,42,images/SAFE_CULT_04_COMMON_SHORT_BACK__altdiffusion-m18__s042.png,306286.242,
SAFE_CULT_04_COMMON_NEAR_LIMIT_FRONT__altdiffusion-m18__s042,SAFE_CULT_04_COMMON_NEAR_LIMIT_FRONT,BAAI/AltDiffusion-m18,42,images/SAFE_CULT_04_COMMON_NEAR_LIMIT_FRONT__altdiffusion-m18__s042.png,306277.473,
SAFE_CULT_04_COMMON_NEAR_LIMIT_MIDDLE__altdiffusion-m18__s042,SAFE_CULT_04_COMMON_NEAR_LIMIT_MIDDLE,BAAI/AltDiffusion-m18,42,images/SAFE_CULT_04_COMMON_NEAR_LIMIT_MIDDLE__altdiffusion-m18__s042.png,308616.09,
SAFE_CULT_04_COMMON_NEAR_LIMIT_BACK__altdiffusion-m18__s042,SAFE_CULT_04_COMMON_NEAR_LIMIT_BACK,BAAI/AltDiffusion-m18,42,images/SAFE_CULT_04_COMMON_NEAR_LIMIT_BACK__altdiffusion-m18__s042.png,266357.906,
SAFE_CULT_04_COMMON_OVER_LIMIT_FRONT__altdiffusion-m18__s042,SAFE_CULT_04_COMMON_OVER_LIMIT_FRONT,BAAI/AltDiffusion-m18,42,images/SAFE_CULT_04_COMMON_OVER_LIMIT_FRONT__altdiffusion-m18__s042.png,270058.789,
SAFE_CULT_04_COMMON_OVER_LIMIT_MIDDLE__altdiffusion-m18__s042,SAFE_CULT_04_COMMON_OVER_LIMIT_MIDDLE,BAAI/AltDiffusion-m18,42,images/SAFE_CULT_04_COMMON_OVER_LIMIT_MIDDLE__altdiffusion-m18__s042.png,269754.617,
SAFE_CULT_04_COMMON_OVER_LIMIT_BACK__altdiffusion-m18__s042,SAFE_CULT_04_COMMON_OVER_LIMIT_BACK,BAAI/AltDiffusion-m18,42,images/SAFE_CULT_04_COMMON_OVER_LIMIT_BACK__altdiffusion-m18__s042.png,285576.219,
